Handle,Title,Body,Vendor,Type,Tags,Published,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Variant sku,Variant grams,Variant inventory tracker,Variant inventory policy,Variant inventory quantity,Variant fullfilment service,Variant price,Variant compare at price,Variant requires shipping,Variant taxable,Variant barcode,Image src,Image alt text,Gift card,Google shopping mpn,Google shopping age group,Google shopping gender,Google shopping google product category,Seo title,Seo description,Google shopping adwords grouping,Google shopping adwords labels,Google shopping condition,Google shopping custom product,Google shopping custom label 0,Google shopping custom label 1,Google shopping custom label 2,Google shopping custom label 3,Google shopping custom label 4,Variant image,Variant weight unit
fantastic-bronze-lamp,Fantastic Bronze Lamp,Typewriter health shabby chic meh street hoodie 3 wolf moon pbr&b literally. Thank You And Goodnight. Shunned immemorial foetid iridescence spectral comprehension. Passing By And Thought I'd Drop In.,Heller LLC,Garden,"Outdoors,Beauty,Computers",TRUE,Color,jade,,,,,,680,,deny,24,manual,20.03,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Ablation,FALSE,53-7506784,Child,Unisex,Electronics & Health,Et in doloribus maiores.,Quo quidem modi aliquid.,Garden,Aedificium vestigium eum.,used,FALSE,,,,,,,
fantastic-bronze-lamp,,,,,,,Color,plum,,,,,fantastic-bronze-lamp-plum,749,,deny,45,manual,20.03,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
fantastic-bronze-lamp,,,,,,,Color,cerulean,,,,,fantastic-bronze-lamp-cerulean,990,,deny,24,manual,20.03,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
mediocre-leather-plate,Mediocre Leather Plate,Just The Washing Instruction Chip In Life's Rich Tapestry. Mustache kale chips echo keffiyeh tousled viral meditation vinegar post-ironic. Effulgence antiquarian foetid gambrel unmentionable abnormal noisome. Heavy Messing.,"Hammes, Reilly and Gutmann",Industrial,"Shoes,Music,Jewelry",TRUE,Color,purple,,,,,,41,,deny,23,manual,5.45,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Armchair Traveller,FALSE,56-7390222,Adult,Men,Computers & Baby,Praesentium hic consequuntur delectus.,Asperiores non perferendis esse.,Industrial,Voluptas cunctatio volutabrum.,used,FALSE,,,,,,,
mediocre-leather-plate,,,,,,,Color,white,,,,,mediocre-leather-plate-white,407,,deny,24,manual,5.45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
mediocre-leather-plate,,,,,,,Color,blush,,,,,mediocre-leather-plate-blush,399,,deny,17,manual,5.45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
intelligent-copper-bench,Intelligent Copper Bench,Goth cliche +1 before they sold out mlkshk farm-to-table waistcoat bicycle rights. Hideous shunned dank gibbering immemorial antediluvian unmentionable blasphemous. Fate Amenable To Change. A Fine Disregard For Awkward Facts.,"Kautzer, Gusikowski and Schowalter",Jewelry,"Health,Clothing,Shoes",TRUE,Color,gold,,,,,,882,,deny,3,manual,44.31,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Contents May Differ,FALSE,54-6513090,Adult,Women,"Clothing, Beauty & Industrial",Non atque velit illum.,Eveniet vel non eum.,Jewelry,Vix qui crux.,used,FALSE,,,,,,,
intelligent-copper-bench,,,,,,,Color,pink,,,,,intelligent-copper-bench-pink,385,,deny,13,manual,44.31,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
intelligent-copper-bench,,,,,,,Color,yellow,,,,,intelligent-copper-bench-yellow,841,,deny,47,manual,44.31,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
fantastic-steel-lamp,Fantastic Steel Lamp,You'll Clean That Up Before You Leave. Charitable View. Decadent unnamable mortal madness comprehension immemorial. Letterpress food truck distillery phlogiston brunch small batch 3 wolf moon.,"Koss, Jacobson and D'Amore",Automotive,"Baby,Clothing,Industrial",TRUE,Color,carmine,,,,,,346,,deny,18,manual,87.6,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Revisionist,FALSE,99-4101997,Adult,Unisex,Tools & Computers,Expedita at voluptatem optio.,Quod temporibus quam ut.,Automotive,Tener campana calco.,used,FALSE,,,,,,,
